OBJECTID,ISO,NAME_0,NAME_1,VARNAME_1,NL_NAME_1,HASC_1,FIPS_1,CC_1,TYPE_1,ENGTYPE_1,VALIDFR_1,VALIDTO_1,REMARKS_1,NAME_2,VARNAME_2,NL_NAME_2,HASC_2,FIPS_2,CC_2,TYPE_2,ENGTYPE_2,VALIDFR_2,VALIDTO_2,REMARKS_2,NAME_3,VARNAME_3,NL_NAME_3,HASC_3,TYPE_3,ENGTYPE_3,VALIDFR_3,VALIDTO_3,REMARKS_3,NAME_4,VARNAME_4,TYPE_4,ENGTYPE_4,VALIDFR_4,VALIDTO_4,REMARKS_4,NAME_5,TYPE_5,ENGTYPE_5,VALIDFR_5,VALIDTO_5,Shape_Leng,Shape_Area,bngy,psgc_bgy,LENGTH,COUNT
"71375",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Mandamo,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.16326090166,0.00095739825,Mandamo,"160202064",12142.3615795061,11
"71388",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Dankias,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.11590464115,0.00057124612,Dankias,"160202036",18161.6760496465,38
"74106",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Baobaoan,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.12852021081,0.00105676728,Baobaoan,"160202018",18076.8570610422,39
"74108",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Anticala,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.24363666562,0.00237006167,Anticala,"160202008",1565.34723724582,1
"74189",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Cabcabon,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.09118813764,0.00046151295,Cabcabon,"160202029",6672.4538138963,6
"74192",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Bobon,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.09225914150,0.00035568685,Bobon,"160202024",6521.21859829852,9
"74193",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Banza,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.13286754892,0.00059708392,Banza,"160202017",9766.53791327871,17
"74194",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Maug,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.07927340045,0.00034333285,Maug,"160202068",5632.08475413965,12
"74622",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Sumile,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.16762917993,0.00106161539,Sumile,"160202101",7543.09049947201,19
"74104",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Santo Nino,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.13436570505,0.00076547528,Santo Niño,"160202100",12708.6668371028,19
"74129",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Los Angeles,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.13496963647,0.00057281422,Los Angeles,"160202056",3058.86301571818,8
"74159",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Sumilihon,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.13630038392,0.00066180852,Sumilihon,"160202080",16615.8332967603,48
"74167",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Pianing,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.21747730925,0.00185564527,Pianing,"160202072",15931.8703429117,11
"74178",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Lumbocan,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.10282171949,0.00048284051,Lumbocan,"160202057",9905.48728339629,46
"74180",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Taguibo,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.14032314538,0.00070818907,Taguibo,"160202083",10182.8217989765,22
"74181",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Pagatpatan,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.07345705598,0.00023594789,Pagatpatan,"160202097",7704.57286972198,40
"74200",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Masao,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.10493623697,0.00045654238,Masao,"160202067",10297.2179938211,22
"74221",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Tiniwisan,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.09799882048,0.00038282935,Tiniwisan,"160202086",8631.47509921132,22
"74225",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Ampayon,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.20409068601,0.00127043262,Ampayon,"160202007",32803.5286117891,73
"74226",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Pinamanculan,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.13456477007,0.00100267242,Pinamanculan,"160202073",24169.2013110204,51
"74251",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Bugsukan,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.14024292698,0.00077930491,Bugsukan,"160202092",245.437303313449,1
"74253",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Babag,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.07245840728,0.00025290070,Babag,"160202013",16416.4449634369,101
"74254",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Agusan Pequeno,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.06265382615,0.00012680060,Agusan Pequeño,"160202003",4175.05298923644,14
"74256",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Antongalon,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.13273145654,0.00070760201,Antongalon,"160202009",5213.94451414513,4
"74264",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Ambago,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.07656035406,0.00033248906,Ambago,"160202004",12775.4865387682,61
"74273",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Bading Pob. (Bgy. 22),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.04633075293,0.00011970579,Bading Pob. (Bgy. 22),"160202014",4521.48070542168,10
"74278",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Baan Km 3,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.12886885641,0.00070966874,Baan KM 3,"160202012",43434.7630337258,195
"74291",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Mahogany Pob. (Bgy. 21),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.04148997492,0.00007390272,Mahogany Pob. (Bgy. 21),"160202062",1583.9882292753,2
"74300",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Obrero Pob. (Bgy. 18),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.03050394866,0.00002412381,Obrero Pob. (Bgy. 18),"160202091",399.919982105917,6
"74306",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Port Poyohon Pob. (Bgy. 17 - New Asia),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.03423274058,0.00003679178,Port Poyohon Pob. (Bgy. 17 - New Asia),"160202069",465.445743676646,3
"74307",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Dumalagan,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.15568379220,0.00104213985,Dumalagan,"160202040",29273.5345153653,76
"74316",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Holy Redeemer Pob. (Bgy. 23),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.03058496975,0.00003619503,Holy Redeemer Pob. (Bgy. 23),"160202047",1701.56588248178,8
"74326",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Ong Yiu Pob. (Bgy. 16),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.03459356609,0.00005611431,Ong Yiu Pob. (Bgy. 16),"160202071",1168.61638742272,4
"74330",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Doongan,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.06649021986,0.00019878852,Doongan,"160202039",24609.7765138495,168
"74334",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Lemon,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.09249777509,0.00041281749,Lemon,"160202052",32490.8277097663,167
"74340",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Baan Riverside Pob. (Bgy. 20),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.03016694166,0.00004172350,Baan Riverside Pob. (Bgy. 20),"160202033",1142.47953929956,3
"74343",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Bayanihan Pob. (Bgy. 27),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.05767957834,0.00009732497,Bayanihan Pob. (Bgy. 27),"160202020",17234.2452328732,113
"74344",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,San Ignacio Pob. (Bgy. 15),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.02876358847,0.00002121689,San Ignacio Pob. (Bgy. 15),"160202075",609.026374656947,4
"74349",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Libertad,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.11160519689,0.00067070999,Libertad,"160202054",99040.5188532544,480
"74352",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Buhangin Pob. (Bgy. 19),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.05431492570,0.00017109003,Buhangin Pob. (Bgy. 19),"160202027",7842.11257852499,42
"74353",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Bancasi,,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.15508286098,0.00087752026,Bancasi,"160202016",62538.2691189748,255
"74360",PHL,Pilipinas,Agusan del Norte,,,PH.AN,RP02,,Lalawigan|Probinsya,Province,"19670617",Present,,Butuan City,,,PH.AN.BT,,,Lungsod|Siyudad,City,Unknown,Present,,Leon Kilat Pob. (Bgy. 13),,,,Barangay,Village,Unknown,Present,,,,,,,,,,,,,,0.02613510198,0.00001666935,Leon Kilat Pob. (Bgy. 13),"160202053",340.424023197973,3
